movie_name,mpaa,mpaa_category,overall_Profanity,overall_Drug/Alcohol,overall_General,overall_Violence,overall_Sexual Content
Friday-the-13th-Part-VIII-Jason-Takes-Manhattan,R,Adult,0.008733624454148471,0.017467248908296942,0.8301310043668122,0.12882096069868995,0.014847161572052401
Indiana-Jones-IV,PG-13,Family-Friendly,0.0034357701851498376,0.006298912006108036,0.8516892536743653,0.13246802824966597,0.006108035884710822
Thor-Ragnarok,PG-13,Family-Friendly,0.004764930114358323,0.0063532401524777635,0.8618170266836086,0.1235705209656925,0.00349428208386277
Harold-and-Kumar-Go-to-White-Castle,R,Adult,0.04582763337893297,0.04138166894664843,0.8543091655266758,0.033515731874145006,0.02496580027359781
The-Butler,PG-13,Family-Friendly,0.011517077045274026,0.007545671167593328,0.9328832406671962,0.046068308181096106,0.0019857029388403494
Schindlers-L,R,Adult,0.0031779661016949155,0.024717514124293787,0.9265536723163842,0.04343220338983051,0.00211864406779661
Star-Wars-Episode-V-The-Empire-Strikes-Back,PG,Family-Friendly,0.001899696048632219,0.0,0.9240121580547113,0.07218844984802432,0.001899696048632219
Looper,R,Adult,0.017385705086928525,0.013844172569220863,0.8354797166773986,0.12781712813908563,0.005473277527366388
My-Girl,PG,Family-Friendly,0.01046337817638266,0.0037369207772795215,0.9611360239162929,0.02092675635276532,0.0037369207772795215
Kids,NC-17,Adult,0.04149566803465572,0.05471956224350205,0.7820337437300502,0.029639762881896944,0.09211126310989512
The-Shining,R,Adult,0.019369540448157994,0.012533232054690467,0.9229016331181162,0.042916824914546146,0.002278769464489176
Grabbers,R,Adult,0.02433993399339934,0.0594059405940594,0.8353960396039604,0.07714521452145215,0.0037128712871287127
The-Life-and-Death-of-Colonel-Blimp,NR,Adult,0.005655902207626346,0.009487319832147418,0.9669768290457945,0.01678525816456851,0.0010946907498631637
Hesher,R,Adult,0.034849596478356566,0.028613352898019074,0.863536316947909,0.05722670579603815,0.01577402787967718
